,A薬品庫右,A薬品庫左,B薬品庫,冷蔵①,冷蔵②,冷蔵③,冷蔵④,冷蔵⑤,冷蔵⑥,冷凍,D薬品庫,無水箱,個人所有,その他,3階試薬庫,none,メーカー名,規格名,CAS No.,内容量,内容量単位,未開封,開封,SMILES,構造式,官能基,,薬品名（日本語Ⅰ）,薬品名（日本語Ⅱ）,薬品名（日本語Ⅲ）,薬品名（英語Ⅰ）,薬品名（英語Ⅱ）,薬品名（英語Ⅲ）,メーカー（日本語）,メーカー（英語）,規格（日本語）,規格（英語）,内容量,内容量単位（日本語）,内容量単位（英語）,比重,保存方法（日本語）,保存方法（英語）,廃棄区分（日本語）,廃棄区分（英語）,PRTR 種別（薬品）,PRTR 管理番号（薬品）,PRTR 含有率（%）（薬品）,CAS No.,薬品ラベルバーコードNo.,製品番号,標準価格（円）,示性式,容器区分（日本語）,容器区分（英語）,形状,純度規格,式量,物性,管理方法（日本語）,管理方法（英語）,管理方法単位（日本語）,管理方法単位（英語）,計量方法（日本語）,計量方法（英語）,計量方法単位（日本語）,計量方法単位（英語）,入力方法（日本語）,入力方法（英語）,使用期限・未開封（年）,使用期限・未開封（日）,使用期限・開封（年）,使用期限・開封（日）,オリジナルワード,SDS（英語）,構造式（日本語）,構造式（英語）,分子式,増減許容値（+）,増減許容値（+）単位（日本語）,増減許容値（+）単位（英語）,増減許容値（-）,増減許容値（-）単位（日本語）,増減許容値（-）単位（英語）,増減許容値（%+）,増減許容値（%-）
"(-)-2,3:4,6-ジ-O-イソプロピリデン-2-ケト-L-グロン酸一水和物",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 68539-16-2,25,g,1,0,,,,,"(-)-2,3:4,6-ジ-O-イソプロピリデン-2-ケト-L-グロン酸一水和物",,,"(-)-2,3:4,6-Di-O-isopropylidene-2-keto-L-gulonic Acid Monohydrate",,,東京化成工業株式会社,,-,-,25,g,g,1,冷蔵貯蔵,,-,-,,,, 68539-16-2,L1SKG,D2191,8600,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
(-)-カルベオール (5g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,(株)ワコーケミカル (和光純薬取扱),-, 99-48-9,5,g,1,0,,,,,(-)-カルベオール (5g),,,(-)-Carveol,,,(株)ワコーケミカル (和光純薬取扱),,-,-,5,g,g,0.96,室温,,-,-,,,, 99-48-9,4.99E+12,329-52891,4600,C10H16O,-,-,,95+%(NMR),,bp. 226～227℃/751mm,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
(-)-キニーネ硫酸塩二水和物 (5g),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光特級, 6119-70-6,5,g,1,0,,,,,(-)-キニーネ硫酸塩二水和物 (5g),,,(-)-Quinine Sulfate Dihydrate,,,富士フイルム和光純薬(株),,和光特級,,5,g,g,1,室温,,-,-,,,, 6119-70-6,4.99E+12,177-00381,3400,(C20H24N2O2)2・H2SO4・2H2O,,,,98+%(Titration)(calc,,mp. 233～235℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(-)-ペリルアルデヒド,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 18031-40-8,25,ml,1,0,,,,,(-)-ペリルアルデヒド,,,(-)-Perillaldehyde,,,東京化成工業株式会社,,-,-,25,ml,ml,0.97,-,-,-,-,,,, 18031-40-8,I6GKM,P0866,7100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(-)-ボルネオール,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 464-45-9,25,g,1,0,,,,,(-)-ボルネオール,,,(-)-Borneol,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 464-45-9,B4BKG,B1012,3600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(-)-メントン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 14073-97-3,25,ml,1,0,,,,,(-)-メントン,,,(-)-Menthone,,,東京化成工業株式会社,,-,-,25,ml,ml,0.89,-,-,-,-,,,, 14073-97-3,HGSKM,M0513,3900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(-)-リモネン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 5989-54-8,5,ml,1,0,,,,,(-)-リモネン,,,(-)-Limonene,,,東京化成工業株式会社,,-,-,5,ml,ml,0.85,-,-,-,-,,,, 5989-54-8,G17EM,L0132,2000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(+)-カテキン水和物,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 225937-10-0,1,g,1,0,,,,,(+)-カテキン水和物,,,(+)-CatechinHydrate,,,東京化成工業株式会社,,-,-,1,g,g,1,冷蔵貯蔵,,-,-,,,, 225937-10-0,C2PBG,C0705,4900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(+)-リモネン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 5989-27-5,25,ml,1,0,,,,,(+)-リモネン,,,(+)-Limonene,,,東京化成工業株式会社,,-,-,25,ml,ml,0.84,-,-,-,-,,,, 5989-27-5,GZVKM,L0047,2100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"(±)-6,6'-ジブロモ-1,1'-ビ-2-ナフトール",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 13185-00-7,1,g,1,0,,,,,"(±)-6,6'-ジブロモ-1,1'-ビ-2-ナフトール",,,個人所有,,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 13185-00-7,O3ABG,D2779,4800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
